"FIPS","Year","Group","Value","MOE"
"0900580490","2012-2016","Total Living with One Parent",949,324.91383473161
"0900580490","2012-2016","Total Living with One Parent, Not in Work Force",115,174.218253923061
"0900580490","2012-2016","Total Living with Two Parents",3565,422.132680563825
"0900580490","2012-2016","Total Living with Two Parents, Neither in Work Force",17,36.4005494464026
"0900586440","2012-2016","Total Children",1672,300
"0900586440","2012-2016","Total Living with One Parent",531,209.618701455762
"0900586440","2012-2016","Total Living with One Parent, Not in Work Force",50,54.9090156531694
"0900586440","2012-2016","Total Living with Two Parents",1141,271.532686798477
"0900586440","2012-2016","Total Living with Two Parents, Neither in Work Force",20,36.3593179253957
"0900587910","2012-2016","Total Children",2044,198
"0900587910","2012-2016","Total Living with One Parent",315,125.686116973992
"0900587910","2012-2016","Total Living with One Parent, Not in Work Force",50,69.5413546028548
"0900587910","2012-2016","Total Living with Two Parents",1729,301.559281070903
"0900587910","2012-2016","Total Living with Two Parents, Neither in Work Force",0,24.0416305603426
"0900700000","2012-2016","Total Children",0,12
"0900700000","2012-2016","Total Living with One Parent",0,16.9705627484771
"0900700000","2012-2016","Total Living with One Parent, Not in Work Force",0,24
"0900700000","2012-2016","Total Living with Two Parents",0,16.9705627484771
"0900700000","2012-2016","Total Living with Two Parents, Neither in Work Force",0,16.9705627484771
"0900714300","2012-2016","Total Children",812,125
"0900714300","2012-2016","Total Living with One Parent",152,87.5728268357257
"0900714300","2012-2016","Total Living with One Parent, Not in Work Force",7,23.5159520326097
"0900714300","2012-2016","Total Living with Two Parents",660,136.213068389197
"0900714300","2012-2016","Total Living with Two Parents, Neither in Work Force",0,16.9705627484771
"0900715350","2012-2016","Total Children",2541,256
"0900715350","2012-2016","Total Living with One Parent",652,167.705098312484
"0900715350","2012-2016","Total Living with One Parent, Not in Work Force",96,52.6782687642637
"0900715350","2012-2016","Total Living with Two Parents",1889,298.750732216676
"0900715350","2012-2016","Total Living with Two Parents, Neither in Work Force",7,21.9544984001001
"0900718080","2012-2016","Total Children",2614,250
"0900718080","2012-2016","Total Living with One Parent",486,221.108570616338
"0900718080","2012-2016","Total Living with One Parent, Not in Work Force",92,86.1394218694321
"0900718080","2012-2016","Total Living with Two Parents",2128,364.610751349984
"0900718080","2012-2016","Total Living with Two Parents, Neither in Work Force",11,25.4950975679639
"0900719130","2012-2016","Total Children",954,98
"0900719130","2012-2016","Total Living with One Parent",252,116.249731182485
"0900719130","2012-2016","Total Living with One Parent, Not in Work Force",30,44.1927595879687
"0900719130","2012-2016","Total Living with Two Parents",702,117.80067911519
"0900719130","2012-2016","Total Living with Two Parents, Neither in Work Force",0,16.9705627484771
"0900720810","2012-2016","Total Children",1516,205
"0900720810","2012-2016","Total Living with One Parent",357,154.870913989684
"0900720810","2012-2016","Total Living with One Parent, Not in Work Force",15,38.6264158316559
"0900720810","2012-2016","Total Living with Two Parents",1159,246.868385987352
"0900720810","2012-2016","Total Living with Two Parents, Neither in Work Force",0,24.0416305603426
"0900722280","2012-2016","Total Children",1911,167
"0900722280","2012-2016","Total Living with One Parent",347,173.510806579878
"0900722280","2012-2016","Total Living with One Parent, Not in Work Force",45,70.1712191713953
"0900722280","2012-2016","Total Living with Two Parents",1564,237.800336416919
"0900722280","2012-2016","Total Living with Two Parents, Neither in Work Force",0,24.0416305603426
"0900722490","2012-2016","Total Children",2735,217
"0900722490","2012-2016","Total Living with One Parent",466,233.803336160971
"0900722490","2012-2016","Total Living with One Parent, Not in Work Force",131,108.843924956793
"0900722490","2012-2016","Total Living with Two Parents",2269,296.219513199249
"0900722490","2012-2016","Total Living with Two Parents, Neither in Work Force",0,26.8700576850888
"0900726270","2012-2016","Total Children",1133,138
"0900726270","2012-2016","Total Living with One Parent",286,161.623018162637
"0900726270","2012-2016","Total Living with One Parent, Not in Work Force",0,34
"0900726270","2012-2016","Total Living with Two Parents",847,190.378570222596
"0900726270","2012-2016","Total Living with Two Parents, Neither in Work Force",0,24.0416305603426
"0900735230","2012-2016","Total Children",1583,183
"0900735230","2012-2016","Total Living with One Parent",319,182.035710782253
"0900735230","2012-2016","Total Living with One Parent, Not in Work Force",0,34
"0900735230","2012-2016","Total Living with Two Parents",1264,293.218348675522
"0900735230","2012-2016","Total Living with Two Parents, Neither in Work Force",0,24.0416305603426
"0900740710","2012-2016","Total Children",1336,115
"0900740710","2012-2016","Total Living with One Parent",108,84.1189633792524
"0900740710","2012-2016","Total Living with One Parent, Not in Work Force",30,55.4616984954482
"0900740710","2012-2016","Total Living with Two Parents",1228,149.682998366548
"0900740710","2012-2016","Total Living with Two Parents, Neither in Work Force",0,24.0416305603426
"0900747080","2012-2016","Total Children",826,99
"0900747080","2012-2016","Total Living with One Parent",179,99.1261822123701
"0900747080","2012-2016","Total Living with One Parent, Not in Work Force",0,24
"0900747080","2012-2016","Total Living with Two Parents",647,121.082616423663
"0900747080","2012-2016","Total Living with Two Parents, Neither in Work Force",0,16.9705627484771
"0900747360","2012-2016","Total Children",8002,475
"0900747360","2012-2016","Total Living with One Parent",3086,459.200391985895
"0900747360","2012-2016","Total Living with One Parent, Not in Work Force",250,171.612936575306
"0900747360","2012-2016","Total Living with Two Parents",4916,492.686512906534
"0900747360","2012-2016","Total Living with Two Parents, Neither in Work Force",63,73.7902432574931
"0900757320","2012-2016","Total Children",1994,237
"0900757320","2012-2016","Total Living with One Parent",465,184.230833467148
"0900757320","2012-2016","Total Living with One Parent, Not in Work Force",0,38
"0900757320","2012-2016","Total Living with Two Parents",1529,258.00775182153
"0900757320","2012-2016","Total Living with Two Parents, Neither in Work Force",13,26.8700576850888
"0900761800","2012-2016","Total Children",1899,178
"0900761800","2012-2016","Total Living with One Parent",296,170.578427709954
"0900761800","2012-2016","Total Living with One Parent, Not in Work Force",10,35.0428309358705
"0900761800","2012-2016","Total Living with Two Parents",1603,310.942116799896
"0900761800","2012-2016","Total Living with Two Parents, Neither in Work Force",0,24.0416305603426
"0900781680","2012-2016","Total Children",793,180
"0900781680","2012-2016","Total Living with One Parent",121,84.7230783199005
"0900781680","2012-2016","Total Living with One Parent, Not in Work Force",0,34
"0900781680","2012-2016","Total Living with Two Parents",672,175.236982398123
"0900781680","2012-2016","Total Living with Two Parents, Neither in Work Force",0,24.0416305603426
"0900900000","2012-2016","Total Children",0,12
"0900900000","2012-2016","Total Living with One Parent",0,16.9705627484771
"0900900000","2012-2016","Total Living with One Parent, Not in Work Force",0,24
"0900900000","2012-2016","Total Living with Two Parents",0,16.9705627484771
"0900900000","2012-2016","Total Living with Two Parents, Neither in Work Force",0,16.9705627484771
"0900901220","2012-2016","Total Children",4001,474
"0900901220","2012-2016","Total Living with One Parent",1456,366.136586535681
"0900901220","2012-2016","Total Living with One Parent, Not in Work Force",341,193.318390227107
"0900901220","2012-2016","Total Living with Two Parents",2545,511.269009426544
"0900901220","2012-2016","Total Living with Two Parents, Neither in Work Force",21,33.0151480384384
"0900903250","2012-2016","Total Children",1291,131
"0900903250","2012-2016","Total Living with One Parent",299,153.40469353967
"0900903250","2012-2016","Total Living with One Parent, Not in Work Force",22,45.7383865041171
"0900903250","2012-2016","Total Living with Two Parents",992,165.360212868755
"0900903250","2012-2016","Total Living with Two Parents, Neither in Work Force",0,24.0416305603426
"0900904580","2012-2016","Total Children",1259,141
"0900904580","2012-2016","Total Living with One Parent",308,128.502918254801
"0900904580","2012-2016","Total Living with One Parent, Not in Work Force",8,32.1869538788622
"0900904580","2012-2016","Total Living with Two Parents",951,193.610433603151
"0900904580","2012-2016","Total Living with Two Parents, Neither in Work Force",0,24.0416305603426
"0900907310","2012-2016","Total Children",4617,437
"0900907310","2012-2016","Total Living with One Parent",1451,387.289297554167
"0900907310","2012-2016","Total Living with One Parent, Not in Work Force",168,121.913904047077
"0900907310","2012-2016","Total Living with Two Parents",3166,387.404181701747
"0900907310","2012-2016","Total Living with Two Parents, Neither in Work Force",21,38.8329756778952
"0900914160","2012-2016","Total Children",5850,323
"0900914160","2012-2016","Total Living with One Parent",833,233.822582314027
"0900914160","2012-2016","Total Living with One Parent, Not in Work Force",68,88.5211839053229
"0900914160","2012-2016","Total Living with Two Parents",5017,392.944016368744
"0900914160","2012-2016","Total Living with Two Parents, Neither in Work Force",0,31.1126983722081
"0900919550","2012-2016","Total Children",2707,460
"0900919550","2012-2016","Total Living with One Parent",1254,336.715013030307
"0900919550","2012-2016","Total Living with One Parent, Not in Work Force",413,266.853892607921
"0900919550","2012-2016","Total Living with Two Parents",1453,391.062654826564
"0900919550","2012-2016","Total Living with Two Parents, Neither in Work Force",0,26.8700576850888
"0900922910","2012-2016","Total Children",5366,444
"0900922910","2012-2016","Total Living with One Parent",2014,461.546314035764
"0900922910","2012-2016","Total Living with One Parent, Not in Work Force",604,313.843910248391
"0900922910","2012-2016","Total Living with Two Parents",3352,516.113359641077
"0900922910","2012-2016","Total Living with Two Parents, Neither in Work Force",105,102.415819090607
"0900934950","2012-2016","Total Children",4701,279
"0900934950","2012-2016","Total Living with One Parent",900,205.827597760844
"0900934950","2012-2016","Total Living with One Parent, Not in Work Force",159,87.3269717784832
"0900934950","2012-2016","Total Living with Two Parents",3801,391.065211953198
"0900934950","2012-2016","Total Living with Two Parents, Neither in Work Force",11,31.1126983722081
"0900935650","2012-2016","Total Children",10579,509
"0900935650","2012-2016","Total Living with One Parent",2945,488.133178548642
"0900935650","2012-2016","Total Living with One Parent, Not in Work Force",94,65.3452370108182
"0900935650","2012-2016","Total Living with Two Parents",7634,686.291483263489
"0900935650","2012-2016","Total Living with Two Parents, Neither in Work Force",74,88.5437744847146
"0900944560","2012-2016","Total Children",4710,365
"0900944560","2012-2016","Total Living with One Parent",482,210.459022139703
"0900944560","2012-2016","Total Living with One Parent, Not in Work Force",57,69.5988505652213
